,hostname,coordenadas,distancia a Kepler-220
250,Kepler-220,"[-378.91227463031373, 149.30368276134195, 381.1716830874217]",0.0
200,Kepler-1049,"[-373.292818696745, 116.60346188535001, 354.9471777923925]",42.29193077050271
217,Kepler-1313,"[-353.0054262762241, 145.41604559491708, 420.5574502385422]",47.30240129699386
302,Kepler-994,"[-426.78108969746944, 147.5532956417113, 415.1378693760864]",58.72128338173817
223,Kepler-1446,"[-340.4140386241184, 120.03924452781199, 339.8401117305892]",63.61462340954116
260,Kepler-378,"[-325.76735415907865, 151.55472527998225, 341.68794946936015]",66.24511291209843
264,Kepler-411,"[-363.2341015157623, 115.26443650775094, 325.2073568607037]",67.35340531653144
277,Kepler-538,"[-343.5929905980422, 178.76068982668147, 329.35675348596726]",69.28170046558768
265,Kepler-411 B,"[-359.0350996332193, 113.92715549107656, 321.4371045944832]",72.21371500828619
249,Kepler-22,"[-444.4623342824765, 154.92782712286697, 425.53804571493436]",79.35247603570618
247,Kepler-1948,"[-446.8355964677562, 139.7222094684094, 424.7306524752585]",81.25740639490333
283,Kepler-63,"[-454.49246191204315, 158.50486885296746, 410.40132745751436]",81.5561073435712
285,Kepler-68,"[-331.27048037132084, 127.3772062830803, 308.0863627443082]",89.95540551086125
286,Kepler-737,"[-449.6322390917522, 180.41361754213744, 460.89150289563713]",111.01527411012778
234,Kepler-1650,"[-263.8301286095401, 138.6856529144198, 321.1254391177737]",130.23898919079218
282,Kepler-568,"[-280.93900758208156, 150.04609826269973, 282.75882352673875]",138.86829430720167
212,Kepler-1152,"[-457.6316481915156, 170.50222490644742, 503.8138863521375]",147.2658412007677
232,Kepler-1646,"[-270.0650275650812, 85.28844900160577, 304.6348393049094]",147.66029189725356
269,Kepler-445,"[-263.7455127980461, 144.61394501321004, 285.44821359167673]",149.827765395401
300,Kepler-954,"[-470.0415535661902, 227.82877305832875, 471.3201803923406]",150.32460494495797
298,Kepler-942,"[-445.4121326035553, 207.27411640385532, 506.07644464020996]",152.91828453694228
288,Kepler-78,"[-259.90355182989595, 114.31673973131264, 289.4551939347185]",154.26949363912203
289,Kepler-78 B,"[-256.2063605395031, 112.67523164561747, 285.3312490577051]",159.94928439665762
245,Kepler-1869,"[-230.94325572653162, 96.2033238731256, 270.5069501740063]",192.25285896496513
279,Kepler-560,"[-217.82880100556682, 126.81320812857744, 251.89308654201224]",207.76588374651962
325,TOI-2010,"[-264.9480887016442, 107.94502675244607, 211.79583551410852]",208.29438744820933
197,Kepler-102,"[-252.7150358776207, 51.33495417508476, 238.7306164550673]",214.0398848648886
215,Kepler-126,"[-509.16215599800773, 178.77870304828764, 554.7571342551082]",219.01076976784384
218,Kepler-1319,"[-240.08423680928757, 91.95037172232536, 220.61144191307147]",219.86863673189035
255,Kepler-327,"[-506.56438558528106, 211.30128304782542, 566.6323238007287]",233.52604378598167
272,Kepler-504,"[-224.38187663447127, 59.79550229159595, 224.46202945495168]",237.59055919241996
273,Kepler-504 B,"[-222.83311239436367, 59.38616081488935, 222.90528178389195]",239.7793139927561
270,Kepler-446,"[-216.72161369537508, 47.05528963568648, 222.3835741186697]",248.94619487182982
297,Kepler-93,"[-181.88489703888573, 71.34630349525115, 244.11278103683463]",252.35348845202176
233,Kepler-1649,"[-185.177840859827, 76.71441013487669, 223.94317331507466]",259.8519532619361
155,HD 48265,"[-217.85032064849403, 38.44177677600935, 195.4276899403168]",269.68898051157794
262,Kepler-408,"[-209.34566403469313, 55.25763359988158, 192.0744196002696]",270.8417801043555
299,Kepler-953,"[-560.6645531798351, 192.7418098607152, 600.688742575607]",288.2854506390907
207,Kepler-1089,"[-597.0040142406682, 230.27670428001485, 552.5175989564322]",288.9291608424531
208,Kepler-114,"[-576.9994652715578, 258.36400080648826, 562.2872322419012]",289.71629262742147
229,Kepler-1582,"[-159.67509313833364, 56.157012501942866, 193.63246933699895]",303.1702502276359
194,KOI-7368,"[-587.3274199363524, 260.85210613803855, 577.3194329311522]",307.1707396864529
158,HD 55696,"[-149.35682137908142, 48.70830338671433, 199.81859724062645]",309.3607573934662
231,Kepler-16,"[-181.6903320636279, 62.83009755239791, 151.516170590265]",314.8266665786069
240,Kepler-1749,"[-585.5514761305747, 216.53910537256732, 612.1247674042875]",317.11147693807743
263,Kepler-409,"[-148.4972744824066, 65.12147762511891, 151.9872996978969]",335.71296898450896
221,Kepler-138,"[-140.11205891480776, 52.05547220924129, 158.6517583902369]",340.58460676988716
235,Kepler-1651,"[-157.30898212618035, 38.139189074159894, 143.75811014419295]",343.26486642688883
236,Kepler-1651 B,"[-156.97322023226536, 38.062646367630926, 143.4531264530419]",343.7173609426496
127,HD 191806,"[-143.01697699497802, 90.65198033509641, 130.9806890280435]",348.8296821550315
259,Kepler-37,"[-141.7276195676899, 35.492377854390774, 148.58134138051662]",351.1521618574115
159,HD 56957,"[-123.24756802494198, 43.22202850310028, 152.08001172020266]",359.30593296465594
246,Kepler-1877,"[-615.0683269273609, 285.0737515429702, 636.821612627185]",373.57740708878487
204,Kepler-1075,"[-667.350273917484, 210.42933646238973, 641.8883492870916]",393.581001837533
176,HIP 35965,"[-119.03965033018288, 46.178456548286846, 102.19899967789596]",394.961202184268
118,HD 178911 C,"[-87.31820243110684, 27.14399425652509, 132.54363565864048]",402.20144008389434
143,HD 331093,"[-77.61514638041695, 37.220273984416586, 139.1575920757405]",402.3847291621545
166,HD 73267,"[-72.18708133867543, 58.60945823799933, 135.4980618509977]",403.3129240838946
119,HIP 94076,"[-86.57108390802057, 26.91172108000861, 131.4096805223243]",403.5148349224113
333,TOI-500,"[-109.33776950590175, 32.51003265057853, 104.20345557194729]",403.7605349366511
